"Periodo","Exportaciones","Importaciones"
"2005/01","14125238.00000","15271701.00000"
"2005/02","15411666.00000","15984672.00000"
"2005/03","17357855.00000","17515654.00000"
"2005/04","17378788.00000","18013423.00000"
"2005/05","18280740.00000","18269939.00000"
"2005/06","18317507.00000","18371338.00000"
"2005/07","16376581.00000","17097930.00000"
"2005/08","19499370.00000","20135931.00000"
"2005/09","18307395.00000","18637505.00000"
"2005/10","19560110.00000","20239609.00000"
"2005/11","20224043.00000","21680554.00000"
"2005/12","19393663.00000","20601270.00000"
"2006/01","19206468.00000","18512184.00000"
"2006/02","18729262.00000","18498720.00000"
"2006/03","20916663.00000","21108414.00000"
"2006/04","19760576.00000","19503224.00000"
"2006/05","22710072.00000","22793631.00000"
"2006/06","21309067.00000","21634773.00000"
"2006/07","19825802.00000","20188733.00000"
"2006/08","22822775.00000","23601996.00000"
"2006/09","20491331.00000","21971992.00000"
"2006/10","23185780.00000","24503313.00000"
"2006/11","20854240.00000","22466444.00000"
"2006/12","20113108.00000","21274928.00000"
"2007/01","18999356.00000","20676876.00000"
"2007/02","19608830.00000","20007377.00000"
"2007/03","21660852.00000","22038495.00000"
"2007/04","21076640.00000","21835960.00000"
"2007/05","23813951.00000","24535855.00000"
"2007/06","22765180.00000","23591904.00000"
"2007/07","22634792.00000","23329641.00000"
"2007/08","24493338.00000","25554885.00000"
"2007/09","23141274.00000","23779308.00000"
"2007/10","26088928.00000","27649790.00000"
"2007/11","24331827.00000","25152819.00000"
"2007/12","23260344.00000","23796139.00000"
"2008/01","22232992.00000","23996538.00000"
"2008/02","22855904.00000","23978831.00000"
"2008/03","24995231.00000","23756589.00000"
"2008/04","27029673.00000","28117897.00000"
"2008/05","26001707.00000","26014122.00000"
"2008/06","26371487.00000","26135875.00000"
"2008/07","27548121.00000","28762742.00000"
"2008/08","25833029.00000","28110512.00000"
"2008/09","25085653.00000","28020923.00000"
"2008/10","24429426.00000","27721734.00000"
"2008/11","20275591.00000","23234846.00000"
"2008/12","18683781.00000","20752642.00000"
"2009/01","15081962.00000","16789104.00000"
"2009/02","16064787.00000","16613305.00000"
"2009/03","18518101.00000","18554454.00000"
"2009/04","17372169.00000","17203626.00000"
"2009/05","17238291.00000","16788594.00000"
"2009/06","19401741.00000","19569999.00000"
"2009/07","18016248.00000","19254846.00000"
"2009/08","19565549.00000","20234102.00000"
"2009/09","20939086.00000","21818126.00000"
"2009/10","22117619.00000","21880850.00000"
"2009/11","22364014.00000","22493453.00000"
"2009/12","23023983.00000","23184513.00000"
"2010/01","19189889.00000","19634064.00000"
"2010/02","21302600.00000","20879793.00000"
"2010/03","26104127.00000","25710897.00000"
"2010/04","24844517.00000","24764007.00000"
"2010/05","24796461.00000","24623978.00000"
"2010/06","25000453.00000","25336866.00000"
"2010/07","23334155.00000","24364456.00000"
"2010/08","26917226.00000","27615053.00000"
"2010/09","25338436.00000","25861450.00000"
"2010/10","26530071.00000","27317792.00000"
"2010/11","28169737.00000","28254429.00000"
"2010/12","26945474.00000","27119034.00000"
"2011/01","24674597.00000","24532143.00000"
"2011/02","25771475.00000","25461390.00000"
"2011/03","31355125.00000","29899150.00000"
"2011/04","27808164.00000","27200981.00000"
"2011/05","31079659.00000","30541743.00000"
"2011/06","30394790.00000","30300785.00000"
"2011/07","27848617.00000","29030739.00000"
"2011/08","31463992.00000","32292579.00000"
"2011/09","28774476.00000","30644800.00000"
"2011/10","30023464.00000","30554512.00000"
"2011/11","31051747.00000","31248710.00000"
"2011/12","29187280.00000","29135344.00000"
"2012/01","27281577.00000","27548995.00000"
"2012/02","30015345.00000","29517163.00000"
"2012/03","32312046.00000","30839530.00000"
"2012/04","30900421.00000","30481741.00000"
"2012/05","33135477.00000","32801858.00000"
"2012/06","30272703.00000","29657623.00000"
"2012/07","30294406.00000","30704050.00000"
"2012/08","31660136.00000","32641949.00000"
"2012/09","29279642.00000","29069597.00000"
"2012/10","33939839.00000","35564836.00000"
"2012/11","31468922.00000","32716357.00000"
"2012/12","30209376.00000","29207860.00000"
"2013/01","27298537.00000","30152955.00000"
"2013/02","29091473.00000","29066034.00000"
"2013/03","31838072.00000","30127821.00000"
"2013/04","32729138.00000","34087541.00000"
"2013/05","32845282.00000","33305574.00000"
"2013/06","31088267.00000","30168158.00000"
"2013/07","32252174.00000","33651211.00000"
"2013/08","32677304.00000","32902205.00000"
"2013/09","31377763.00000","30726402.00000"
"2013/10","35082425.00000","35217067.00000"
